id,Attraction,Rating,NumReviews,Address,Duration,Score,Coordinates,ReviewsSummary,0,1,2,3,4,5,6,Country,About,Categories
49,The Intan,5,399,"69 Joo Chiat Terrace, Singapore 427231, Singapore",90,1995,"(1.3144788, 103.900967)","Alvin, the owner of the Intan Museum was friendly too! It's not just a museum, it's an experience. Definitely will ask my friend visit The Intan. A must visit in Singapore for anyone interested in heritage & this unique culture.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"VISITS ARE STRICTLY BY APPOINTMENTS Founded in 2003, The Intan is a Peranakan heritage home-museum. The brainchild of antique collector and owner Alvin Yapp, The Intan (meaning 'rose-cut diamond' in Malay) enlightens its guests about the multi-facetted aspects of Peranakan culture through a kaleidoscope of rare historical artefacts, intriguing personal stories, and authentic dining experiences. Located in the heart of Joo Chiat, a traditional Peranakan enclave and Singapore's first heritage town (2011), The Intan offers personalised tours conducted by Alvin, which culminate with authentic Peranakan tea sessions and dinners inspired by his mother. The Intan also doubles up as a unique event space, having hosted a variety of activities that included jewellery exhibitions, art shows and violin recitals. Voted Best Overall Experience in Singapore's inaugural Museum Roundtable Awards, The Intan has been featured internationally on CNN Travel, Discovery Channel and National Geographic. Singapore Travelholic lists The Intan as the top 5 Peranakan activities to do in Singapore. With a vision to promote Peranakan culture beyond Singapore, The Intan's collection has been showcased in places such as Croatia, Hawaii, Hong Kong, Moscow, London and Barcelona.","Speciality Museums, Museums"
50,Singapore Art Museum,4,473,"71 Bras Basah Road Singapore Art Museum, Singapore, Singapore",90,1892,"(1.2973072, 103.8510615)","The building itself is worth a visit as it was an old colonial building. Great art pieces were displayed. If you're looking for something to do in Singapore, I would tell you to look a little more. This is the best art museum I have ever visited! At the time of our visit, there was an excellent exhibition on called 'After Utopia' featuring contemporary Asian artists.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Now on at Singapore Art Museum | Imaginarium: To the Ends of the Earth Singapore Art Museum is a contemporary art museum for visitors of all ages, specialising in art and art practices in Singapore and Southeast Asia. Drawing from its own collection, and through artist commissions, Singapore Art Museum presents thought-provoking art exhibitions and programmes that respond to current issues and complete the visitor's understanding of Southeast Asia. An annual family-friendly exhibition, 'Imaginarium' explores big ideas through immersive and interactive contemporary artworks. 'Imaginarium: To the Ends of the Earth' examines our relationships with ever-changing environments through the eyes of 9 artists from across Asia.","Art Museums, Museums"
51,Fountain of Wealth,3.5,522,"3 Temasek Boulevard Suntec City Mall | Suntec City Mall, Singapore 038983, Singapore",90,1827,"(1.2944346, 103.8581424)","It s a good place to take a photo at any time of the day or night and inside the mall itself is a great place for many different types of food. The Fountain of Wealth is just that - a fountain. This might have been the timing, though.","(600, 720)","(600, 720)","(600, 720)","(600, 720)","(600, 720)","(600, 720)","(600, 720)",Singapore,Information not available.,"Fountains, Points of Interest & Landmarks, Sights & Landmarks"
52,Singapore Visitor Centre,4.5,387,"216 Orchard Road | Orchard Gateway @ Emerald, Opposite Somerset MRT, Singapore 238898, Singapore",60,1741.5,"(1.3016419, 103.838816)",Very helpful staff. she even gave many suggestions on what to-do etc.. tourists are able to select what the places of interest based on the recommendations and print the itinerary using the system provided. There is always something new to see and the staff at the Visitor Centre have the information and the maps available.,"(510, 1290)","(510, 1290)","(510, 1290)","(510, 1290)","(510, 1290)","(510, 1290)","(510, 1290)",Singapore,"The Singapore Visitor Centre is set in a two-storey conserved Peranakan shophouse in the heritage-rich Emerald Hill area. The centre provides services like the sale of locally designed souvenirs, tours, attraction, event tickets and booking of accommodation. Key feature of the SVC is the use of technology to help visitors. There are four interactive kiosk that allow visitors to browse and put together a digital itinerary. This personalised itinerary can be printed or emailed to visitors. Besides this, there are also two large screens that display a variety of places of interest and events in Singapore. Complimentary WiFi is also available within the SVC. On top of this, there is also an event space on the second floor where interactive and engaging activities are conducted every month. These programmes are curated for visitors who are keen to find out more about our culture.","Visitor Centres, Traveller Resources"
53,Sungei Buloh Wetland Reserve,4.5,385,"301 Neo Tiew Crescent, Singapore 718925, Singapore",90,1732.5,"(1.446721, 103.7300549)","One of the last wetland reserves in Singapore. ), see how Singapore used to look. It will take around 2 hours to walk around the wetland reserve. Saw mudskippers, monitor lizards and and lots of different birds. Good place to do some birding or immerse in some nature time.","(420, 1140)","(450, 1140)","(450, 1140)","(450, 1140)","(450, 1140)","(450, 1140)","(450, 1140)",Singapore,"This 200-acre reserve, situated north of the island, is home to over 150 species of rare and exotic birds.",Features Animals
54,Esplanade Park,4.5,353,"Connaught Drive, Singapore, Singapore",90,1588.5,"(1.2900217, 103.8534443)","Come at night and you'll find yourself in a great place for a walk, taking pictures, and enjoy the surroundings with nice city lights. A must see place in Singapore.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,Nature & Parks
55,Lucky Plaza,3,524,"304 Orchard Road Lucky Plaza, Singapore 238863, Singapore",90,1572,"(1.3045755, 103.8340344)","As for buying stuff at this mall I didn't see anything that worth mentioning (except of buying Sim cards for tourist the $15 one for 5 days from Singtel can be found there). the price is over. Compare to other places in Orchard area, i think Lucky Plaza is the most cheaper place to shop souvenir such as chocolate, t-shirt and other souvenir with Singapore logo..you can find the 2 foodcourt inside with arround $3-$7, you can take a lunch here. And some Singapore Souvenir shop. Never to buy at Lucky Plaza again, 'specially from this shop...","(480, 1320)","(480, 1320)","(480, 1320)","(480, 1320)","(480, 1320)","(480, 1320)","(480, 1320)",Singapore,Information not available.,"Flea & Street Markets, Shopping"
56,Raffles City,4,390,"252 North Bridge Rd, Singapore 179101, Singapore",60,1560,"(1.2939468, 103.8533486)","If you are in the area then it is a good one to visit (and as it is opposite Raffles Hotel then I guess a lot of people will find themselves in the area) but i would not say it is worth travelling far to, as there are lots of other good Mall's in Singapore Awesome place for conventions and events. Big shopping mall with department store, food court, supermarket, MRT accessible but it's the City Hall station, not the Raffles Station, the food hall is great with small shops for dinning in a budget. A great shopping centre in the centre of the city.","(600, 1380)","(600, 1380)","(600, 1380)","(600, 1380)","(600, 1380)","(600, 1380)","(600, 1380)",Singapore,"""Situated in the Civic District close to historic and tourist sites, Raffles City Shopping Centre is a haven for consumers looking for luxury items. Built on the site of a former school (Raffles Institution), Raffles City is downtown shopping at its finest. The mall has a number of luxury and designer stores such as Omega, Thomas Sabo, Cortefiel and Tommy Hilfiger, among others. Here, you’ll also find big department stores like Marks & Spencer and Robinsons, and fashion chains like Topshop, River Island and Skyla. In fact, Raffles City covers most shopping bases with fashion, books, music, sports, toys, eyewear and beauty all available above the City Hall MRT station, which makes getting here all the more convenient. ""","Shopping Malls, Shopping"
57,Sri Veeramakaliamman Temple,4,379,"141 Serangoon Road, Singapore 218042, Singapore",90,1516,"(1.307792, 103.852583)","If you are in Singapore then it is a must that you visit some of its many temples, and this one is beautiful. This is the best Hindu temple to which I've been. Worth visiting this temple in Singapore Near Little India Area It is bit crowded, but still a nice one Great temple!","(300, 1260)","(300, 1260)","(300, 1260)","(300, 1260)","(300, 1260)","(300, 1260)","(300, 1260)",Singapore,"Built in 1855 by Tamil labourers, the temple has a South Indian architectural style. The gopuram or tower, a common element in South Indian temple architecture, was built at a height so that it can be seen from a distance.","Sacred & Religious Sites, Sights & Landmarks"
58,Resort World Sentosa Casino,4,358,"8 Sentosa Gateway Resorts World Sentosa, Singapore 098269, Singapore",90,1432,"(1.255179, 103.8218107)","Amazing this is entry to non singapore passport is free and if singapore passport then its 100 SGD. And also besides gambling, there're a lot of attraction in Sentosa that you can do, so it's worth it spending time here. Good casino inside Sentosa resort world.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Owned and operated by Asia's largest gaming operator, Resorts World Sentosa is unrivalled in its intimate knowledge of Asian gaming preferences. The place brims with activity 24/7 and is complemented by unparalleled customer privileges. Our trained croupiers and hand-picked Guests Services Ambassadors will ensure our customers get an enjoyable and memorable experience.","Fun & Games, Casinos & Gambling"
59,Kampong Glam,4,318,"Kampong Glam, Singapore, Singapore",90,1272,"(1.30275, 103.8600008)","A must for everyone who visits Singapore. Others not, so we shopped there. I visited Kampong Glam twice.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Its major landmark, the Sultan Mosque, sits in the heart of this enclave and is open to all visitors, as is the nearby Malay Heritage Centre, where you’ll learn about Malay history and culture.","Neighbourhoods, Sights & Landmarks, Other"
60,St Andrew's Cathedral,4,300,"11 St. Andrew's Road St. Andrew's Cathedral, Singapore 178959, Singapore",60,1200,"(1.2922741, 103.8521989)","This is hardly a cathedral and better from the outside. It is Singapore's first Anglican church. From outside, the cathedral is very beautiful.","(450, 1080)","(450, 1080)","(450, 1080)","(450, 1080)","(450, 1080)","(450, 1080)","(450, 1080)",Singapore,"St Andrew’s Cathedral is one of Singapore’s most treasured works of architecture. Gazetted as a national monument on 1973, you’ll stand in awe at its majestic facade, with extended pinnacles and a glossy white exterior. Take a coffee break and enjoy our free wifi at The Cathedral Cafe which is conveniently located beside the City Hall MRT entrance (North Bridge Road).","Sacred & Religious Sites, Churches & Cathedrals, Sights & Landmarks"
61,Holland Village,4,299,"Holland Avenue Lorong Liput, Lorong Mambong,, Singapore 278967, Singapore",240,1196,"(1.3103752, 103.7955019)","Lots of western style restaurants, bars, shops and very lively. Now I can say I've been to Holland Village. Great place for eating and drinking.","(660, 840)","(600, 720)","(600, 720)","(600, 720)","(600, 720)","(660, 840)","(660, 840)",Singapore,"Holland Village Singapore is a hamlet tucked away behind the Singapore Botanic Gardens and is less that 10 minutes away from Orchard Road. This little spot has been referred to as Singapore's ""Bohemian"" enclave because of its variety of art and craft shops, art galleries, art framing specialists, street cobblers, gift shops, novelty shops, gourmet takeaway outlets, wine cellars, organic food outlets, custom-made shoes shop, imported kitchenware store, body waxing specialists, international school uniform tailors, master tailors, theme party clothing store, tarot card readers, ethnic home decor articles, fine dining restaurants and many other interesting shops.These outlets serve the residents of the surrounding upper and middle class estates. You can witness expatriate housewives spending their day here having breakfast, running errands, meeting up friends for lunch and enjoying a nail spa before shopping for groceries and heading home.Retail establishments are located along four streets and two shopping buildings. These streets are: (i) Jalan Merah Saga (ii) Holland Avenue (iii) Lorong Liput and (iv) Lorong Mambong. The shopping buildings are: (i) Holland Road Shopping Centre, which is along Holland Avenue, and (ii) Holland V Shopping Mall, which is presently being redeveloped, along Lorong Liput. These two buildings are often casually referred to by sales assistants as Holland Village Shopping Centre, which is a non-existent building. All these streets are within walking distances and it is a good place to spend the day strolling, relaxing in a spa, shopping, having the meal of your choice and seeing the world go by at one of its famous pubs.","Neighbourhoods, Sights & Landmarks, Other"
62,Emerald Hill,4.5,247,"Off Orchard Road, Singapore, Singapore",90,1111.5,"(1.302693, 103.836805)","Worth the stop to check it out A nostalgic place that is full of peranakan influence, a nice one hour walk to feel a different part of this vibrant city After a stroll along Orchard Road I turned into Emerald Hill road and after walking past a couple of bars and restaurants the road is lined with beautiful restored terrace houses. The Emerald Hill Road is worth to see,  if you like nice old Buildings.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Historic Sites, Neighbourhoods, Sights & Landmarks, Other"
63,Wild Wild Wet,4,274,"1 Pasir Ris Close E!Hub@Downtown East, Singapore 519599, Singapore",90,1096,"(1.383917, 103.9436926)","My children have so much fun, they said it was the best day. The slides at this place were good. Overall a great fun time for my kids and myself.....will definitely come again for sure! The crowds were small and there was zero waiting time for the rides which were open. But I will return again :) My friends and I have visited the water slide park in Sentosa several times and eventually made the trip out to Wild Wild Wet to see how it compares.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"There's a better way to get wet at one of Singapore's largest waterparks! Experience the first raft slide in Southeast Asia, Ular-Lah is a super flume ride that offers you a chance to brave the rapids, or plunge down a four-storey ramp, accelerating until you hit the deck and skimming across to soar on the opposite side. Wild Wild Wet is open from 10am to 7pm on Singapore Public Holidays, and School Holidays.","Water Parks, Water & Amusement Parks"
64,Plaza Singapura,4,239,"68 Orchard Road, Singapore 238839, Singapore",90,956,"(1.3007914, 103.8449976)","It's probably more of a mall for the locals, having stores such as Spotlight and a huge Daiso (Japanese $2 shop), sports stores, toy stores etc. This mall is one of the first mall in Singapore. The mall had all the shops we could want.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Some key stores in Plaza Singapura include John Little, Yamaha and Spotlight, and its multiple dining options ensure that you’ll be well-fed. You can also satisfy your entertainment needs with a large Golden Village cinema on the top floor.","Shopping Malls, Shopping"
65,Thian Hock Keng Temple,4,221,"158 Telok Ayer Street | Chinatown, Singapore 068613, Singapore",90,884,"(1.2810871, 103.8474767)","If you are into temples, please visit this place. You may have seen temples like this one.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"The Thian Hock Keng Temple was erected in 1821 by seamen grateful for safe passage, and stands where Singapore's waterfront used to be, before the land was reclaimed.","Sacred & Religious Sites, Sights & Landmarks"
66,Mint Museum of Toys,4,221,"26 Seah Street, Singapore 188382, Singapore",90,884,"(1.2963106, 103.8543948)","There are a lot of toys collection. I'm not even sure of they are old or new or if they should be in the/a museum. There is a small museum shop near the entrance, which sells some nice and reasonably priced collectible tin toys.","(570, 1110)","(570, 1110)","(570, 1110)","(570, 1110)","(570, 1110)","(570, 1110)","(570, 1110)",Singapore,"Young or old, if you’re a fan of toys then you are in for a treat at the Mint Museum. It boasts a world-class toy collection consolidated from more than 25 countries. It’s the perfect place for an avid toys fan collector.","Speciality Museums, Museums"
67,Singapore Philatelic Museum,4,219,"23B Coleman Street Singapore Philatelic Museum, Singapore 179807, Singapore",90,876,"(1.2928447, 103.8487025)","On my visit to Singapore this time, I visited the Singapore Philatelic Museum. One can also buy stamps for collection.... if you like to collect stamps.... A nicely presented little museum on stamps. This place will appeal to stamp and non-stamp lovers, a small museum of 2 storeys houses 6 rooms and others: 1) Orange Room - level 1 - Facts about stamps and stamp displays 2) Purple Room - Level 1 - Singapore stamp history and stamp displays 3) Lee Foundation Atrium - Level 1 - Currently showing the old postcards of Singapore 4) Room of Rarities - Level 2 - Old stamps of Singapore and Straits Settlements display 5) Heritage Room - Level 2 - Costumes of Colonial Singapore, Musical Instruments, Cultural Festivals, and traditional trades 6) Special Exhibits Room - Level 2 - Currently showing snake facts and related stamp displays 7) Collection of miniature postboxes of the UK, China, Spain, Portugal, Hong Kong, Macau, USA, Japan and Singapore - Level 2 8) Spices Display - Level 2 - Currently showing spices cultivation map of Old Singapore.","(570, 1140)","(780, 1140)","(570, 1140)","(570, 1140)","(570, 1140)","(570, 1140)","(570, 1140)",Singapore,"Singapore Philatelic Museum celebrates everything about the world of stamps, from their unique background and connection to important historical moments in history, to stamp design and important collections.","Speciality Museums, Museums"
68,Cavenagh Bridge,4,215,"Mouth of Singapore River, Singapore, Singapore",90,860,"(1.2865459, 103.8523588)","The night views from the other side, as well as when on the bridge, are beautiful and if with a partner or loved one, then make for a memorable romantic evening too! This bridge is one Singapore river.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Bridges, Sights & Landmarks"
69,City Square Mall,4,205,"180 Kitchener Road City Square Mall, Singapore 208539, Singapore",240,820,"(1.3114724, 103.8566701)","Very nice mall in Little India, Singapore. There are lots of places to shop. This shopping mall has almost everything you need.","(600, 1320)","(600, 1320)","(600, 1320)","(600, 1320)","(600, 1320)","(600, 1320)","(600, 1320)",Singapore,"City Square Mall, located at the junction of Serangoon and Kitchener Roads, sits on the site of Singapore's historic New World Park. Having close proximity to Little India, one of the Top 5 must-see tourist spots, with direct connection to Farrer Park MRT station, it hopes to attract both local and tourist shoppers. With over 700,000 sq ft of gross retail space, spread over five retail levels, two basements and four levels of lifestyle services, it is home to about 200 tenants that caters to the lifestyle needs of today's discerning mid-income families. Offering a wide array of value-for-money merchandise and services, exciting promotional activities, street fare as well as international cuisine, City Square Mall is envisioned as a miniature 'town-centre' which provides the perfect setting for the community to meet, play and shop while acquiring an eco-learning experience.","Shopping Malls, Shopping"
70,Bukit Brown Cemetery,4.5,181,"Lorong Halwa, Singapore, Singapore",90,814.5,"(1.3347169, 103.8203287)","Be sure to go with someone who knows Singapore history. Beautiful trees, very interesting graves. It's not that there are more Bukit Browns around Singapore.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Cemeteries, Sights & Landmarks"
71,Marina Square,4,201,"6 Raffles Boulevard Marina Square, Singapore 039594, Singapore",90,804,"(1.2914539, 103.8578549)","Surrounded by hotels such as the Mandarin OrientalBur for and Pan Pacific, Marina Square gives you access to and from Suntec City, Citylink Mall, Millenia Walk and the Esplanade theatres on the bay. There are many shops and many exits/entrances.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"""Shop, eat, play and relax is the mantra at Marina Square, and you can do all this and more at this classy mall. Thanks to its location next to Marina Bay and some of Singapore’s grandest hotels like the Mandarin and the Oriental, Marina Square is filled with high street fashion boutiques. You’ll find stores like Zara, Mango, Topshop and Miss Selfridge as well as John Little, Muji, Crocs and more, with over 300 shops in total. The mall also often runs special privileges and promotions just for tourists like you.""","Shopping Malls, Shopping"
72,Statue of Raffles,3.5,227,"Downtown Core, Singapore, Singapore",90,794.5,"(1.2866961, 103.8535097)","It's a statue. A nice place to see the Boat Quay, Raffles is an institution in Singapore and you cant go by much without seeing the name.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Monuments & Statues, Sights & Landmarks"
73,The Pinnacle @ Duxton,4.5,169,"1 Cantonment Road The Pinnacle @ Duxton, Singapore 080001, Singapore",90,760.5,"(1.2770996, 103.8413439)","It's gives an amazing 360 degree view of Singapore without the crowds of tourists or high prices. Go to building G to find little office to pay the $5 to get access to the 50th floor. anything else to do there, well, nothing... 360 view of Singapore with just 5SingD!","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Points of Interest & Landmarks, Sights & Landmarks"
74,Katong District,4,175,"East Coast Road, Singapore, Singapore",90,700,"(1.3090566, 103.9126906)","Katong is the place to be. If you are looking for place to eat an inexpensive meal, and have quality food, then Katong is the place to come.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Neighbourhoods, Sights & Landmarks, Other"
75,Surviving the Japanese Occupation: War and Its Legacies,4.5,154,"351 Upper Bukit Timah Road, Singapore 588192, Singapore",150,693,"(1.3520743, 103.7677059)",Reviews Summary not available.,"(720, 1065)","(540, 1050)","(540, 1050)","(540, 1050)","(540, 1050)","(540, 1050)","(540, 1050)",Singapore,Information not available.,"Military Museums, Museums"
76,Robertson Quay,4,170,"Near Singapore River, Singapore, Singapore",90,680,"(1.2891166, 103.8404664)",Also nice just for an evening stroll without drinks or dining. Great area by the river for walking with lots of nice eating places and wine bars.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Neighbourhoods, Other, Sights & Landmarks"
77,Suntec Singapore Convention & Exhibition Centre,4,169,"1 Raffles Boulevard Singapore Int'l Convention & Exhibition Ctr, Singapore 039593, Singapore",90,676,"(1.2936854, 103.8572793)","I would say very huge shopping center and many shops and hotels available. If you happen to have a conference here, check out the other floors.","(480, 1080)","(480, 1080)","(480, 1080)","(480, 1080)","(480, 1080)","(480, 1080)","(480, 1080)",Singapore,"With 100,000 square metres of available floor space, Suntec Singapore is an ideal venue for meetings, conventions & exhibitions.We can cater to events from 10 to 10,000 people. However large or small your needs, whatever size of venue you require, Suntec Singapore has the right space for you.","Conference & Convention Centres, Traveller Resources"
79,Tiger Brewery,4,163,"459 Jalan Ahmad Ibrahim, Singapore 639934, Singapore",90,652,"(1.3361749, 103.647081)",Sorry folks- if you are looking for a brewery tour go elsewhere. We found the transport easy via MRT and bus (but we have travelled to Singapore many times).,"(0, 0)","(600, 1020)","(600, 1020)","(600, 1020)","(600, 1020)","(600, 1020)","(780, 1020)",Singapore,"Step into the home of Tiger Beer and see how we brew Singapore’s iconic beer, with just four high-quality ingredients! The Tiger Brewery Tour takes you behind each step of the brewing process – from milling the malt to packaging. You will even get a chance to taste the “wort”, which is beer before it is fermented for alcohol! To round it off, you will try your hand at tapping the perfect pint of draught beer, and sample some of the freshest beers that will touch your lips. Book your tour today!","Breweries, Food & Drink"
80,Red Dot Design Museum,4,156,"11 Marina Boulevard, Singapore 018940, Singapore",90,624,"(1.2802848, 103.856454)","The Red Dot Design Museum is definitely a place to visit when in Singapore. And of course, there are a lot of great things in the gift shop!","(660, 1439)","(660, 1439)","(660, 1439)","(660, 1439)","(660, 1439)","(660, 1439)","(660, 1439)",Singapore,"Red Dot Design Museum now open to visitors along the Marina Bay Waterfront Promenade. The museum exhibition, shop, cafe and bar opens daily from 11am - 2am. As the only museum in Singapore that opens past midnight, the Red Dot Design Museum is an alternative night-time destination to visit after-hours. Red Dot Design Museum Singapore opened its doors in November 2005 and has since, became one of the most popular venue in Asia for design works and references. In the current exhibition, ""A Preview of the Future - Red Dot Award: Design Concept"", you will see over 300 award winning futuristic design concepts from the most talented designers and innovative organisations worldwide. Visualise how designs may evolve and how we may live and interact in the foreseeable future.","Speciality Museums, Points of Interest & Landmarks, Sights & Landmarks, Museums"
81,Labrador Nature Reserve,4,153,"Labrador Villa Road Tanjong Berlayer Park, Singapore 119187, Singapore",90,612,"(1.2674872, 103.801682)","The park has a small hill and hence it's advisable that first hill is explored and then ascend downhill to enjoy a beautiful view of the sea. so it was a great place to walk while visiting the city. There is also a small and old harbour where you can walk out to, to enjoy the cool sea breeze.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Explore the rocky cliff-side vegetation and enjoy the panoramic views of the sea at Labrador Nature Reserve. This park is an oasis of calm and a tranquil getaway from the hustle and bustle of the city.,Features Animals
82,Singapore Cricket Club,4.5,135,"A Connaught Drive Singapore Cricket Club, Singapore 179681, Singapore",90,607.5,"(1.2889791, 103.852117)","The veranda serves some of the best curries in Singapore whilst you look over the Padang and watch the tennis,  Cricket, rugby, Hockey or lawn bowls. If you haven't been to the Singapore Cricket Club, you must.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Sports Complexes, Fun & Games"
83,Tekka Centre,4,146,"665 Buffalo Road Zhujiao Centre (Tekka Market) 210665 Singapore, Singapore 210665, Singapore",90,584,"(1.306251, 103.850654)",Mostly indian foods are available. Good access from the little India MRT.,"(390, 1260)","(390, 1260)","(390, 1260)","(390, 1260)","(390, 1260)","(390, 1260)","(390, 1260)",Singapore,"Part wet market, part food centre and part shopping mall, Tekka Centre is a place where several ethnic communities converge to create a multicultural shopping fiesta. Established in 1915, Tekka Centre moved to its current location in 1982 and is a landmark in Little India.","Shopping Malls, Shopping"
84,Singapore Turf Club,4.5,118,"1 Turf Club Avenue Singapore Racecourse | Singapore Racecourse, Singapore 738078, Singapore",90,531,"(1.423318, 103.762227)","There is always someone there to help with how the locals bet. This is the only horse racing track in Singapore. Easy train ride on mrt cost 2.50 then 6$ to get into the track, you could sit an watch the horses come out, then walk across into the air condition stand to watch the races, food and drink hall on same level, great day.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,Features Animals
85,Kuan Yin Thong Hood Cho Temple,4,132,"178 Waterloo Street Kwan im Temple, Singapore 187964, Singapore",90,528,"(1.3008609, 103.8529981)","Otherwise, it is a good place to see how the locals make their offerings Came upon this temple while strolling in the Bugis area. This temple I think was one of the best temples I have seen so far.","(360, 1080)","(360, 1080)","(360, 1080)","(360, 1080)","(360, 1080)","(360, 1080)","(360, 1080)",Singapore,Information not available.,"Sacred & Religious Sites, Sights & Landmarks"
86,Bollywood Veggies,4,128,"100 Neo Tiew Road, Singapore 719026, Singapore",90,512,"(1.418319, 103.716853)","I loved it and would go again every time I visit Singapore. The plants are well-labelled, so it was easy for the kids to learn about the different plants and trees there. If you wish to visit different off the track of Singapore then you should try this place.","(480, 1110)","(0, 0)","(0, 0)","(570, 1110)","(570, 1110)","(570, 1110)","(480, 1110)",Singapore,"Capture a piece of country life in bustling Singapore at this organic farm and bistro. Specialising in healthy locally grown produce with no chemical fertilisers, pesticides and growth hormones, Bollywood Veggies also offers hearty home-cooked meals at its in-house eatery.",Features Animals
87,Parkview Square,4.5,111,"600 North Bridge Road Parkview Square, Singapore 188778, Singapore",90,499.5,"(1.300164, 103.8577221)","Art Deco building looks like something out of a Batman movie and Wine Fairies 'fly' up on a wire to get your wine bottle! The building is in Art Deco style and the inside is amazing, really beautiful.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Described as imposing and monumental, the open plaza of Parkview Square is surrounded by sculptures and statues, with an impressive number of bronze effigies of famous historical characters.","Architectural Buildings, Sights & Landmarks"
88,Jurong East Swimming Complex,4.5,104,"21 Jurong East Street 31, Singapore 609517, Singapore",150,468,"(1.346852, 103.729195)","What a...More Reach at Chinese Garden MRT, walk 500 meters to this place, Full of water everywhere, Lazy River, Wave Pool, Swimming pool, Three Water rides and couple of baby and toddler pools. One of the the best places in singapore where you can take your children and spend time with full of enjoyment the whole day You get down in Chineese garden MRT in green line and cross the road near the signal..You will find this fantastin swimming complex For entrance of $2,you can use MRT card itself or buy ticket in the counter Do not forget to take children and swimming dress is must to wear Cheap.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"There are no shortage of water play areas and swimming pools in Singapore, but few come at such a bargain. For less than $2 (and less than $1 for children), visitors can choose to dive into the wave pool, cruise down the lazy river, conquer the water slides, relax in the whirlpool or watch the little ones splash down at the Kiddy Fun Station. Bring your own picnic to make a day of it. (NOTE: Jurong East Swimming Complex will be closed March 12, 2012, to July 12, 2012, for renovations.)","Water Parks, Water & Amusement Parks"
